date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_country_win_percentage,away_country_win_percentage,away_country_weighted_score,home_country_weighted_score
2021-09-04,Ukraine,France,1.0,1.0,FIFA World Cup qualification,Kyiv,Ukraine,False,41.935483870967744,57.89473684210527,0.15959252971137522,-0.15959252971137522
2021-09-04,Faroe Islands,Denmark,0.0,1.0,FIFA World Cup qualification,Tórshavn,Faroe Islands,False,0.0,57.14285714285714,0.5714285714285714,-0.5714285714285714
2021-09-04,Scotland,Moldova,1.0,0.0,FIFA World Cup qualification,Glasgow,Scotland,False,46.875,0.0,-0.46875,0.46875
2021-09-04,Israel,Austria,5.0,2.0,FIFA World Cup qualification,Haifa,Israel,False,0.0,50.0,1.0,-1.0
2021-09-04,Gibraltar,Turkey,0.0,3.0,FIFA World Cup qualification,Gibraltar,Gibraltar,False,0.0,50.0,1.5,-1.5
2021-09-04,Netherlands,Montenegro,4.0,0.0,FIFA World Cup qualification,Eindhoven,Netherlands,False,58.333333333333336,0.0,-2.3333333333333335,2.3333333333333335
2021-09-04,Slovenia,Malta,1.0,0.0,FIFA World Cup qualification,Ljubljana,Slovenia,False,45.45454545454545,0.0,-0.45454545454545453,0.45454545454545453
2021-09-04,Slovakia,Croatia,0.0,1.0,FIFA World Cup qualification,Bratislava,Slovakia,False,37.5,51.28205128205128,0.5128205128205128,-0.5128205128205128
2021-09-05,Spain,Georgia,4.0,0.0,FIFA World Cup qualification,Badajoz,Spain,False,55.26315789473685,45.16129032258064,-2.210526315789474,2.210526315789474
2021-09-05,Switzerland,Italy,0.0,0.0,FIFA World Cup qualification,Basel,Switzerland,False,37.83783783783784,41.66666666666667,0.0,0.0
2021-09-05,Belgium,Czech Republic,3.0,0.0,FIFA World Cup qualification,Brussels,Belgium,False,50.0,41.17647058823529,-1.5,1.5
2021-09-05,England,Andorra,4.0,0.0,FIFA World Cup qualification,London,England,False,53.84615384615385,0.0,-2.1538461538461537,2.1538461538461537
2021-09-05,Albania,Hungary,1.0,0.0,FIFA World Cup qualification,Elbasan,Albania,False,31.25,50.0,-0.3125,0.3125
2021-09-05,San Marino,Poland,1.0,7.0,FIFA World Cup qualification,Serravalle,San Marino,False,0.0,45.714285714285715,3.1999999999999997,-3.1999999999999997
2021-09-05,Germany,Armenia,6.0,0.0,FIFA World Cup qualification,Stuttgart,Germany,False,44.44444444444444,0.0,-2.6666666666666665,2.6666666666666665
2021-09-05,Romania,Liechtenstein,2.0,0.0,FIFA World Cup qualification,Bucharest,Romania,False,40.625,0.0,-0.8125,0.8125
2021-09-07,Republic of Ireland,Serbia,1.0,1.0,FIFA World Cup qualification,Dublin,Republic of Ireland,False,0.0,55.88235294117647,0.5588235294117647,-0.5588235294117647
2021-09-07,Azerbaijan,Portugal,0.0,3.0,FIFA World Cup qualification,Baku,Azerbaijan,False,0.0,67.56756756756756,2.027027027027027,-2.027027027027027
2021-09-07,France,Finland,2.0,0.0,FIFA World Cup qualification,Lyon,France,False,57.89473684210527,0.0,-1.1578947368421053,1.1578947368421053
2021-09-07,Austria,Scotland,0.0,1.0,FIFA World Cup qualification,Vienna,Austria,False,50.0,46.875,0.46875,-0.46875
2021-09-07,Denmark,Israel,5.0,0.0,FIFA World Cup qualification,Copenhagen,Denmark,False,57.14285714285714,0.0,-2.8571428571428568,2.8571428571428568
2021-09-07,Netherlands,Turkey,6.0,1.0,FIFA World Cup qualification,Amsterdam,Netherlands,False,58.333333333333336,50.0,-3.0,3.0
2021-09-07,Croatia,Slovenia,3.0,0.0,FIFA World Cup qualification,Split,Croatia,False,51.28205128205128,45.45454545454545,-1.5384615384615383,1.5384615384615383
2021-09-07,Slovakia,Cyprus,2.0,0.0,FIFA World Cup qualification,Bratislava,Slovakia,False,37.5,0.0,-0.75,0.75
2021-09-08,Bulgaria,Georgia,4.0,1.0,Friendly,Sofia,Bulgaria,False,0.0,45.16129032258064,0.4516129032258064,-0.4516129032258064
2021-09-08,Czech Republic,Ukraine,1.0,1.0,Friendly,Plzeň,Czech Republic,False,41.17647058823529,41.935483870967744,0.007590132827324514,-0.007590132827324514
2021-09-08,Kosovo,Spain,0.0,2.0,FIFA World Cup qualification,Pristina,Kosovo,False,0.0,55.26315789473685,1.105263157894737,-1.105263157894737
2021-09-08,Northern Ireland,Switzerland,0.0,0.0,FIFA World Cup qualification,Belfast,Northern Ireland,False,0.0,37.83783783783784,0.0,0.0
2021-09-08,Italy,Lithuania,5.0,0.0,FIFA World Cup qualification,Reggio Emilia,Italy,False,41.66666666666667,0.0,-2.083333333333334,2.083333333333334
2021-09-08,Belarus,Belgium,0.0,1.0,FIFA World Cup qualification,Kazan,Russia,True,0.0,50.0,0.5,-0.5
2021-09-08,Albania,San Marino,5.0,0.0,FIFA World Cup qualification,Elbasan,Albania,False,31.25,0.0,-1.5625,1.5625
2021-09-08,Hungary,Andorra,2.0,1.0,FIFA World Cup qualification,Budapest,Hungary,False,50.0,0.0,-1.0,1.0
2021-09-08,Poland,England,1.0,1.0,FIFA World Cup qualification,Warsaw,Poland,False,45.714285714285715,53.84615384615385,0.08131868131868131,-0.08131868131868131
2021-09-08,Iceland,Germany,0.0,4.0,FIFA World Cup qualification,Reykjavík,Iceland,False,0.0,44.44444444444444,1.7777777777777777,-1.7777777777777777
2021-09-08,North Macedonia,Romania,0.0,0.0,FIFA World Cup qualification,Skopje,North Macedonia,False,0.0,40.625,0.0,0.0
2021-10-06,Italy,Spain,1.0,2.0,UEFA Nations League,Milan,Italy,False,41.66666666666667,55.26315789473685,0.6885964912280702,-0.6885964912280702
2021-10-07,Belgium,France,2.0,3.0,UEFA Nations League,Turin,Italy,True,50.0,57.89473684210527,0.736842105263158,-0.736842105263158
2021-10-08,Czech Republic,Wales,2.0,2.0,FIFA World Cup qualification,Prague,Czech Republic,False,41.17647058823529,0.0,-0.8235294117647058,0.8235294117647058
2021-10-08,Latvia,Netherlands,0.0,1.0,FIFA World Cup qualification,Riga,Latvia,False,0.0,58.333333333333336,0.5833333333333334,-0.5833333333333334
2021-10-08,Turkey,Norway,1.0,1.0,FIFA World Cup qualification,Istanbul,Turkey,False,50.0,0.0,-0.5,0.5
2021-10-08,Malta,Slovenia,0.0,4.0,FIFA World Cup qualification,Ta' Qali,Malta,False,0.0,45.45454545454545,1.8181818181818181,-1.8181818181818181
2021-10-08,Cyprus,Croatia,0.0,3.0,FIFA World Cup qualification,Larnaca,Cyprus,False,0.0,51.28205128205128,1.5384615384615383,-1.5384615384615383
2021-10-08,Russia,Slovakia,1.0,0.0,FIFA World Cup qualification,Kazan,Russia,False,0.0,37.5,0.0,0.0
2021-10-08,Germany,Romania,2.0,1.0,FIFA World Cup qualification,Hamburg,Germany,False,44.44444444444444,40.625,-0.48263888888888884,0.48263888888888884
2021-10-09,Luxembourg,Serbia,0.0,1.0,FIFA World Cup qualification,Luxembourg,Luxembourg,False,0.0,55.88235294117647,0.5588235294117647,-0.5588235294117647
2021-10-09,Georgia,Greece,0.0,2.0,FIFA World Cup qualification,Batumi,Georgia,False,45.16129032258064,0.0,0.0,0.0
2021-10-09,Switzerland,Northern Ireland,2.0,0.0,FIFA World Cup qualification,Geneva,Switzerland,False,37.83783783783784,0.0,-0.7567567567567568,0.7567567567567568
2021-10-09,Finland,Ukraine,1.0,2.0,FIFA World Cup qualification,Helsinki,Finland,False,0.0,41.935483870967744,0.8387096774193549,-0.8387096774193549
2021-10-09,Scotland,Israel,3.0,2.0,FIFA World Cup qualification,Glasgow,Scotland,False,46.875,0.0,-1.40625,1.40625
2021-10-09,Faroe Islands,Austria,0.0,2.0,FIFA World Cup qualification,Tórshavn,Faroe Islands,False,0.0,50.0,1.0,-1.0
2021-10-09,Moldova,Denmark,0.0,4.0,FIFA World Cup qualification,Chișinău,Moldova,False,0.0,57.14285714285714,2.2857142857142856,-2.2857142857142856
2021-10-09,Andorra,England,0.0,5.0,FIFA World Cup qualification,Andorra la Vella,Andorra,False,0.0,53.84615384615385,2.692307692307692,-2.692307692307692
2021-10-09,Hungary,Albania,0.0,1.0,FIFA World Cup qualification,Budapest,Hungary,False,50.0,31.25,0.3125,-0.3125
2021-10-09,Poland,San Marino,5.0,0.0,FIFA World Cup qualification,Warsaw,Poland,False,45.714285714285715,0.0,-2.2857142857142856,2.2857142857142856
2021-10-09,Portugal,Qatar,3.0,0.0,Friendly,Faro-Loulé,Portugal,False,67.56756756756756,0.0,-2.027027027027027,2.027027027027027
2021-10-10,Italy,Belgium,2.0,1.0,UEFA Nations League,Turin,Italy,False,41.66666666666667,50.0,-0.3333333333333335,0.3333333333333335
2021-10-10,Spain,France,1.0,2.0,UEFA Nations League,Milan,Italy,True,55.26315789473685,57.89473684210527,0.6052631578947368,-0.6052631578947368
2021-10-11,Belarus,Czech Republic,0.0,2.0,FIFA World Cup qualification,Kazan,Russia,True,0.0,41.17647058823529,0.8235294117647058,-0.8235294117647058
2021-10-11,Netherlands,Gibraltar,6.0,0.0,FIFA World Cup qualification,Rotterdam,Netherlands,False,58.333333333333336,0.0,-3.5,3.5
2021-10-11,Latvia,Turkey,1.0,2.0,FIFA World Cup qualification,Riga,Latvia,False,0.0,50.0,1.0,-1.0
2021-10-11,Croatia,Slovakia,2.0,2.0,FIFA World Cup qualification,Osijek,Croatia,False,51.28205128205128,37.5,-0.27564102564102555,0.27564102564102555
2021-10-11,Slovenia,Russia,1.0,2.0,FIFA World Cup qualification,Maribor,Slovenia,False,45.45454545454545,0.0,-0.45454545454545453,0.45454545454545453
2021-10-11,North Macedonia,Germany,0.0,4.0,FIFA World Cup qualification,Skopje,North Macedonia,False,0.0,44.44444444444444,1.7777777777777777,-1.7777777777777777
2021-10-11,Romania,Armenia,1.0,0.0,FIFA World Cup qualification,Bucharest,Romania,False,40.625,0.0,-0.40625,0.40625
2021-10-12,Portugal,Luxembourg,5.0,0.0,FIFA World Cup qualification,Faro-Loulé,Portugal,False,67.56756756756756,0.0,-3.378378378378378,3.378378378378378
2021-10-12,Serbia,Azerbaijan,3.0,1.0,FIFA World Cup qualification,Belgrade,Serbia,False,55.88235294117647,0.0,-1.6764705882352942,1.6764705882352942
