team,win_percentage
PORTUGAL,69.44444444444444
NETHERLANDS,60.0
FRANCE,59.45945945945946
DENMARK,57.14285714285714
SERBIA,55.88235294117647
SPAIN,54.054054054054056
ENGLAND,53.84615384615385
CROATIA,52.63157894736842
AUSTRIA,50.0
TURKEY,50.0
HUNGARY,50.0
BELGIUM,48.57142857142857
SCOTLAND,46.875
POLAND,45.714285714285715
SLOVENIA,45.45454545454545
GEORGIA,45.16129032258064
GERMANY,44.44444444444444
UKRAINE,41.935483870967744
ITALY,41.66666666666667
ROMANIA,40.625
CZECHIA,39.39393939393939
SWITZERLAND,38.88888888888889
SLOVAKIA,37.5
ALBANIA,31.25
