country,win_percentage,no_games
Albania,32.43,37
Suriname,38.1,21
China PR,33.33,33
Vanuatu,23.08,13
Saint Martin,55.56,9
Orkney,33.33,3
Zimbabwe,11.11,18
Belgium,54.55,44
Israel,40.62,32
Chad,0.0,7
Russia,54.17,24
Hmong,33.33,3
Ticino,0.0,2
Romania,37.84,37
Seychelles,9.09,22
Bonaire,45.45,11
Mayotte,0.0,2
Maldives,33.33,24
Latvia,25.71,35
Saint Barthélemy,50.0,2
Bulgaria,20.0,35
Lesotho,21.88,32
,0.0,15
Liberia,13.04,23
Székely Land,100.0,2
